campana_id,cliente_id,nombre_campana,tipo_campana,variante_ab,fecha_envio,abierto,clic,convirtio,ingreso_generado
70001,2536,"Campaña Navidad 2023",WhatsApp,A,2024-07-14,1,0,0,0.00
70002,1959,"Bienvenida Nuevo Cliente",Correo,A,2024-07-21,0,0,0,0.00
70003,2135,"Reactivación Q1 2024",SMS,A,2022-01-27,0,0,0,0.00
70004,2717,"Cyber Wow Mayo 2024",SMS,B,2024-10-31,0,0,0,0.00
70005,1223,"Día de la Madre 2024",SMS,B,2023-05-27,0,0,0,0.00
70006,2980,"Día de la Madre 2024",Push,A,2024-05-09,1,0,0,0.00
70007,2112,"Bienvenida Nuevo Cliente",Correo,A,2022-04-08,0,0,0,0.00
70008,2430,"Black Friday 2023",Correo,B,2022-10-05,0,0,0,0.00
70009,1611,"Cyber Wow Mayo 2024",SMS,A,2022-09-12,0,0,0,0.00
70010,1357,"Día de la Madre 2024",SMS,A,2024-07-19,0,0,0,0.00
70011,1550,"Black Friday 2023",Push,B,2024-05-31,0,0,0,0.00
70012,1484,"Reactivación Q1 2024",Correo,A,2024-09-24,0,0,0,0.00
70013,2368,"Bienvenida Nuevo Cliente",Correo,A,2024-05-25,0,0,0,0.00
70014,2424,"Cyber Wow Mayo 2024",WhatsApp,B,2022-10-18,0,0,0,0.00
70015,1432,"Reactivación Q1 2024",SMS,B,2024-04-18,0,0,0,0.00
70016,1861,"Reactivación Q1 2024",WhatsApp,B,2022-05-15,1,0,0,0.00
70017,2301,"Reactivación Q1 2024",Correo,A,2022-05-13,0,0,0,0.00
70018,2575,"Reactivación Q1 2024",Push,A,2024-02-25,0,0,0,0.00
70019,1118,"Bienvenida Nuevo Cliente",SMS,A,2022-06-13,0,0,0,0.00
70020,2032,"Día de la Madre 2024",Correo,A,2022-01-01,0,0,0,0.00
70021,2045,"Recuperación Carrito Abandonado",Correo,A,2023-02-19,0,0,0,0.00
70022,2765,"VIP Exclusivo Agosto",Push,B,2023-07-11,0,0,0,0.00
70023,2175,"Black Friday 2023",WhatsApp,B,2024-11-10,0,0,0,0.00
70024,2045,"Campaña Navidad 2023",Correo,B,2023-07-12,0,0,0,0.00
70025,2714,"Reactivación Q1 2024",SMS,B,2023-06-23,0,0,0,0.00
70026,1296,"Black Friday 2023",Correo,A,2022-11-20,0,0,0,0.00
70027,1027,"Recuperación Carrito Abandonado",Push,A,2023-02-11,0,0,0,0.00
70028,1742,"Día de la Madre 2024",Push,A,2024-04-30,0,0,0,0.00
70029,1432,"Black Friday 2023",SMS,B,2022-03-29,0,0,0,0.00
70030,1841,"Campaña Navidad 2023",WhatsApp,B,2022-07-31,0,0,0,0.00
70031,2496,"Cyber Wow Mayo 2024",Push,A,2022-07-07,0,0,0,0.00
70032,2347,"VIP Exclusivo Agosto",WhatsApp,A,2024-11-06,0,0,0,0.00
70033,2153,"Black Friday 2023",WhatsApp,B,2024-11-14,0,0,0,0.00
70034,2195,"Cyber Wow Mayo 2024",WhatsApp,B,2023-08-09,0,0,0,0.00
70035,2828,"Fidelización Recurrentes",WhatsApp,A,2024-02-28,0,0,0,0.00
70036,1284,"Recuperación Carrito Abandonado",WhatsApp,A,2024-02-09,0,0,0,0.00
70037,1280,"VIP Exclusivo Agosto",SMS,A,2024-04-19,1,0,0,0.00
70038,1438,"Fidelización Recurrentes",Correo,A,2024-03-25,1,0,0,0.00
70039,2959,"Bienvenida Nuevo Cliente",Push,B,2022-12-30,0,0,0,0.00
70040,1532,"Cyber Wow Mayo 2024",WhatsApp,A,2022-09-24,1,0,0,0.00
70041,1037,"Cyber Wow Mayo 2024",Correo,A,2024-10-18,0,0,0,0.00
70042,2243,"Bienvenida Nuevo Cliente",Push,A,2024-02-09,0,0,0,0.00
70043,1854,"VIP Exclusivo Agosto",WhatsApp,B,2024-10-04,1,0,0,0.00
70044,1358,"Día de la Madre 2024",Correo,B,2022-07-04,0,0,0,0.00
70045,2132,"Recuperación Carrito Abandonado",Push,B,2023-04-23,0,0,0,0.00
70046,1303,"Recuperación Carrito Abandonado",Correo,B,2022-07-21,0,0,0,0.00
70047,2305,"Bienvenida Nuevo Cliente",WhatsApp,A,2022-07-15,1,0,0,0.00
70048,1086,"Recuperación Carrito Abandonado",SMS,A,2023-11-11,1,0,0,0.00
70049,2061,"Campaña Navidad 2023",Push,B,2023-02-23,0,0,0,0.00
70050,2120,"Cyber Wow Mayo 2024",Push,A,2024-01-03,0,0,0,0.00
70051,1955,"Reactivación Q1 2024",Correo,A,2022-09-09,0,0,0,0.00
70052,2238,"VIP Exclusivo Agosto",Push,A,2023-08-27,0,0,0,0.00
70053,1878,"Bienvenida Nuevo Cliente",Correo,A,2022-06-04,0,0,0,0.00
70054,2791,"Campaña Navidad 2023",WhatsApp,A,2022-08-23,0,0,0,0.00
70055,2368,"VIP Exclusivo Agosto",Correo,B,2024-11-06,1,1,0,0.00
70056,2186,"Cyber Wow Mayo 2024",WhatsApp,B,2024-07-31,0,0,0,0.00
70057,2760,"Reactivación Q1 2024",Correo,A,2023-04-14,0,0,0,0.00
70058,1079,"Reactivación Q1 2024",WhatsApp,B,2023-04-05,0,0,0,0.00
