detalle_id,pedido_id,producto_id,cantidad,precio_unitario,descuento_aplicado,subtotal
90001,7042,119,4,1998.83,0.00,7995.32
90002,8763,131,2,2336.91,0.00,4673.82
90003,8560,236,5,442.97,0.00,2214.85
90004,8461,266,2,1245.35,0.20,1992.56
90005,7200,204,5,226.11,0.25,847.91
90006,12205,294,2,2427.45,0.00,4854.90
90007,7495,161,2,1891.92,0.10,3405.46
90008,5747,180,4,943.48,0.00,3773.92
90009,7474,218,5,1133.43,0.15,4817.08
90010,11690,253,3,566.24,0.25,1274.04
90011,11388,118,1,406.89,0.25,305.17
90012,10273,103,3,1509.32,0.10,4075.16
90013,7978,280,3,1665.08,0.00,4995.24
90014,7111,150,4,397.61,0.00,1590.44
90015,5607,186,1,1700.97,0.05,1615.92
90016,11865,159,2,1740.36,0.00,3480.72
90017,10732,276,5,1758.07,0.00,8790.35
90018,7472,197,4,2202.77,0.00,8811.08
90019,8221,250,1,449.73,0.15,382.27
90020,12573,128,1,114.43,0.00,114.43
90021,5508,225,2,1270.62,0.20,2032.99
90022,5580,220,4,246.34,0.15,837.56
90023,10250,208,3,2078.25,0.00,6234.75
90024,12193,209,3,1581.90,0.00,4745.70
90025,12834,114,3,1566.37,0.10,4229.20
90026,10925,176,3,1657.31,0.00,4971.93
90027,8951,135,5,1777.26,0.00,8886.30
90028,11499,136,5,843.83,0.10,3797.24
90029,5903,141,5,993.39,0.00,4966.95
90030,11644,209,4,1581.90,0.10,5694.84
90031,10495,253,4,566.24,0.00,2264.96
90032,11515,170,5,2070.85,0.05,9836.54
90033,9058,140,3,1375.60,0.15,3507.78
90034,10095,177,5,36.22,0.15,153.94
90035,12497,128,2,114.43,0.05,217.42
90036,6832,228,3,694.03,0.05,1977.99
90037,11385,166,3,485.53,0.00,1456.59
90038,9114,154,5,2234.02,0.00,11170.10
90039,9842,226,1,181.96,0.20,145.57
90040,11276,165,4,2379.36,0.25,7138.08
90041,11148,189,4,885.16,0.00,3540.64
90042,10298,255,2,1463.05,0.10,2633.49
90043,8871,217,4,1763.03,0.00,7052.12
90044,10428,135,3,1777.26,0.25,3998.84
90045,11899,247,4,974.32,0.15,3312.69
90046,5762,262,1,338.59,0.05,321.66
90047,6538,183,3,2299.69,0.20,5519.26
90048,12826,209,4,1581.90,0.20,5062.08
90049,10618,139,1,1994.29,0.05,1894.58
90050,6209,212,1,850.02,0.20,680.02
90051,12660,258,3,2022.94,0.10,5461.94
90052,11456,169,4,525.57,0.00,2102.28
90053,7905,228,2,694.03,0.10,1249.25
90054,9912,183,4,2299.69,0.20,7359.01
90055,7561,251,5,947.97,0.25,3554.89
90056,9330,118,1,406.89,0.10,366.20
90057,10879,252,2,762.60,0.05,1448.94
90058,10055,157,4,1243.00,0.05,4723.40
90059,5550,245,4,1210.49,0.00,4841.96
90060,5929,180,3,943.48,0.25,2122.83
90061,9061,194,5,1926.75,0.25,7225.31
90062,12595,269,1,1773.91,0.10,1596.52
90063,10102,262,3,338.59,0.15,863.40
90064,5644,194,5,1926.75,0.20,7707.00
90065,8717,168,1,746.43,0.25,559.82
90066,5845,180,1,943.48,0.10,849.13
90067,11738,137,4,301.05,0.10,1083.78
90068,12894,108,3,1886.70,0.05,5377.10
90069,11904,193,2,1884.74,0.05,3581.01
90070,8324,145,2,1877.04,0.25,2815.56
90071,10700,251,4,947.97,0.05,3602.29
90072,11435,269,1,1773.91,0.15,1507.82
90073,9179,217,2,1763.03,0.00,3526.06
90074,11678,211,3,955.77,0.15,2437.21
90075,10386,274,2,93.41,0.00,186.82
90076,10063,212,1,850.02,0.20,680.02
90077,9692,120,4,357.32,0.10,1286.35
90078,7828,245,2,1210.49,0.10,2178.88
90079,8662,265,2,68.86,0.00,137.72
90080,9238,282,5,1272.66,0.00,6363.30
90081,11440,103,3,1509.32,0.15,3848.77
90082,5456,168,4,746.43,0.00,2985.72
90083,12883,282,4,1272.66,0.25,3817.98
90084,11642,161,1,1891.92,0.00,1891.92
90085,5204,245,4,1210.49,0.00,4841.96
90086,6906,189,4,885.16,0.05,3363.61
90087,11321,201,3,956.06,0.00,2868.18
90088,6202,249,4,1638.11,0.20,5241.95
90089,8632,293,5,1199.87,0.00,5999.35
90090,12583,122,2,522.39,0.00,1044.78
90091,6006,294,4,2427.45,0.05,9224.31
90092,11175,106,5,903.02,0.20,3612.08
90093,8063,240,4,1506.75,0.00,6027.00
90094,9038,177,1,36.22,0.25,27.16
90095,12874,298,3,108.90,0.00,326.70
90096,12632,207,5,620.94,0.00,3104.70
90097,6338,103,3,1509.32,0.05,4301.56
90098,8783,233,1,640.40,0.00,640.40
90099,11196,225,2,1270.62,0.00,2541.24
90100,10562,217,4,1763.03,0.10,6346.91
90101,6551,144,4,1446.74,0.10,5208.26
90102,6312,223,5,1691.32,0.25,6342.45
90103,7862,170,2,2070.85,0.25,3106.27
90104,5205,229,1,1416.93,0.10,1275.24
90105,11821,278,4,227.14,0.15,772.28
90106,11783,115,3,1500.95,0.00,4502.85
90107,6757,285,5,352.36,0.15,1497.53
90108,8615,128,4,114.43,0.10,411.95
90109,9505,113,3,2150.67,0.10,5806.81
90110,6565,243,4,2421.72,0.15,8233.85
90111,8957,280,3,1665.08,0.00,4995.24
90112,9404,266,2,1245.35,0.00,2490.70
90113,8081,263,3,2447.20,0.15,6240.36
90114,6177,240,5,1506.75,0.05,7157.06
90115,10222,136,5,843.83,0.00,4219.15
90116,9495,223,1,1691.32,0.00,1691.32
90117,9633,148,2,572.20,0.00,1144.40
90118,6663,169,1,525.57,0.05,499.29
90119,8748,166,5,485.53,0.25,1820.74
90120,6729,192,5,1996.58,0.05,9483.75
90121,7926,199,4,1715.24,0.05,6517.91
90122,7795,232,5,1813.56,0.10,8161.02
90123,10511,171,5,1704.37,0.00,8521.85
90124,10191,240,4,1506.75,0.25,4520.25
90125,9125,235,1,1296.63,0.05,1231.80
90126,10655,273,2,1052.32,0.05,1999.41
90127,10015,277,1,176.58,0.00,176.58
90128,10502,205,4,637.79,0.20,2040.93
90129,10460,172,4,176.79,0.15,601.09
90130,7918,234,2,302.91,0.05,575.53
90131,9248,197,4,2202.77,0.05,8370.53
90132,6483,233,2,640.40,0.00,1280.80
90133,12636,215,1,813.88,0.20,651.10
90134,9089,274,5,93.41,0.25,350.29
90135,5272,217,4,1763.03,0.05,6699.51
90136,9744,237,3,1134.74,0.00,3404.22
90137,8691,230,3,2005.24,0.00,6015.72
90138,6739,213,1,1512.95,0.00,1512.95
90139,10507,211,5,955.77,0.00,4778.85
90140,11426,114,3,1566.37,0.20,3759.29
90141,6159,160,4,773.25,0.05,2938.35
90142,12262,291,1,1369.29,0.00,1369.29
90143,5584,189,3,885.16,0.20,2124.38
90144,10992,134,1,574.61,0.10,517.15
90145,10242,251,1,947.97,0.00,947.97
90146,10545,147,5,2470.00,0.20,9880.00
90147,10437,215,2,813.88,0.00,1627.76
90148,11849,252,3,762.60,0.00,2287.80
90149,11674,264,5,1516.92,0.10,6826.14
90150,12545,247,2,974.32,0.20,1558.91
90151,5968,288,3,475.03,0.00,1425.09
90152,11886,237,3,1134.74,0.00,3404.22
90153,10320,146,1,1722.59,0.00,1722.59
90154,10169,155,1,2423.51,0.15,2059.98
90155,10466,300,2,757.78,0.00,1515.56
90156,9665,280,5,1665.08,0.00,8325.40
90157,7544,206,1,239.11,0.00,239.11
90158,12806,257,2,1787.40,0.00,3574.80
90159,11090,129,5,268.41,0.10,1207.85
90160,11422,160,3,773.25,0.25,1739.81
90161,8358,158,1,2290.44,0.00,2290.44
90162,8955,182,4,1551.91,0.00,6207.64
90163,5848,149,5,1613.28,0.00,8066.40
90164,11972,207,3,620.94,0.10,1676.54
90165,6494,193,4,1884.74,0.05,7162.01
90166,7361,275,3,1096.31,0.15,2795.59
90167,6854,291,1,1369.29,0.15,1163.90
90168,7681,211,1,955.77,0.20,764.62
90169,11166,209,5,1581.90,0.00,7909.50
90170,11804,183,3,2299.69,0.00,6899.07
90171,10606,254,5,2165.24,0.15,9202.27
90172,10762,141,1,993.39,0.25,745.04
90173,6066,221,2,1712.69,0.20,2740.30
90174,6859,139,5,1994.29,0.00,9971.45
90175,8938,285,3,352.36,0.20,845.66
90176,7230,128,5,114.43,0.10,514.94
90177,6554,207,1,620.94,0.25,465.71
90178,6993,136,4,843.83,0.10,3037.79
90179,10948,107,4,1171.67,0.20,3749.34
90180,11949,272,4,1363.23,0.25,4089.69
90181,12704,268,3,1080.58,0.00,3241.74
90182,8803,104,1,2213.07,0.10,1991.76
90183,9800,272,4,1363.23,0.20,4362.34
90184,7822,254,3,2165.24,0.05,6170.93
90185,8636,247,4,974.32,0.00,3897.28
90186,12395,123,2,1736.07,0.10,3124.93
90187,10498,114,5,1566.37,0.10,7048.66
90188,10740,222,4,1487.60,0.15,5057.84
90189,8126,140,1,1375.60,0.15,1169.26
90190,11239,145,2,1877.04,0.10,3378.67
90191,6537,217,1,1763.03,0.00,1763.03
90192,11604,264,5,1516.92,0.00,7584.60
90193,8738,261,3,419.36,0.05,1195.18
90194,10873,127,1,1258.40,0.10,1132.56
90195,8112,182,5,1551.91,0.00,7759.55
90196,11099,116,5,1355.08,0.20,5420.32
90197,7584,110,1,418.96,0.25,314.22
90198,7754,115,4,1500.95,0.25,4502.85
90199,11662,300,2,757.78,0.00,1515.56
90200,8382,119,4,1998.83,0.00,7995.32
90201,11781,205,4,637.79,0.25,1913.37
90202,9191,178,5,1497.89,0.00,7489.45
90203,10792,249,2,1638.11,0.00,3276.22
90204,6662,261,1,419.36,0.20,335.49
90205,6028,277,4,176.58,0.10,635.69
90206,8581,209,2,1581.90,0.05,3005.61
90207,12985,121,5,2042.46,0.00,10212.30
90208,12345,161,3,1891.92,0.15,4824.40
90209,8747,253,4,566.24,0.15,1925.22
90210,9506,142,4,1645.63,0.00,6582.52
90211,10384,227,5,461.19,0.00,2305.95
90212,10523,286,5,69.93,0.10,314.69
90213,8114,130,3,19.96,0.25,44.91
90214,6293,148,2,572.20,0.00,1144.40
