pedido_id,cliente_id,fecha_pedido,total_pedido,estado,canal,ciudad_entrega,metodo_pago
5001,1212,2024-05-07,6149.83,Devuelto,Web,Cajamarca,Yape
5002,1218,2024-06-21,7138.08,"En camino",Web,Tacna,Efectivo
5003,2560,2023-04-12,546.14,"En camino",Web,Cajamarca,Yape
5004,1154,2022-07-24,1714.72,Devuelto,Web,Tacna,"Tarjeta de débito"
5005,2712,2022-12-21,894.05,"En camino",App,Chiclayo,"Tarjeta de débito"
5006,1952,2023-03-17,4532.71,Cancelado,"Tienda física",Lima,"Tarjeta de crédito"
5007,2701,2023-07-29,11666.19,Entregado,App,Cusco,"Tarjeta de crédito"
5008,1760,2023-04-15,1569.70,"En camino",Web,Iquitos,Yape
5009,2334,2024-12-23,6736.65,Entregado,Web,Lima,Efectivo
5010,2817,2024-12-22,2299.08,"En camino","Tienda física",Chiclayo,Yape
5011,2004,2022-03-20,3187.41,"En camino",App,Arequipa,Efectivo
5012,1873,2023-09-24,14066.63,Cancelado,App,Trujillo,"Tarjeta de débito"
5013,2243,2024-10-25,8366.03,Cancelado,"Tienda física",Arequipa,Yape
5014,1248,2023-12-06,1778.81,Cancelado,App,Cajamarca,"Tarjeta de débito"
5015,2984,2022-07-05,9960.87,Entregado,App,Tacna,"Tarjeta de débito"
5016,2008,2023-08-21,14505.47,Entregado,Web,Lima,Efectivo
5017,1219,2022-11-08,5106.25,Devuelto,Web,Piura,"Tarjeta de crédito"
5018,1867,2022-04-28,5254.69,"En camino","Tienda física",Arequipa,"Tarjeta de débito"
5019,1337,2022-10-25,8419.65,Cancelado,Web,Tacna,Efectivo
5020,1118,2024-01-27,2921.06,Entregado,Web,Piura,"Tarjeta de débito"
5021,2597,2023-05-12,2709.06,Cancelado,Web,Huancayo,Efectivo
5022,1604,2024-03-31,425.27,Cancelado,Web,Trujillo,Efectivo
5023,1323,2023-09-02,674.77,Devuelto,App,Piura,Efectivo
5024,2264,2024-01-21,13690.31,Devuelto,App,Trujillo,Yape
5025,2809,2022-04-05,1343.75,"En camino","Tienda física",Cusco,"Tarjeta de débito"
5026,2113,2022-10-24,1375.67,"En camino","Tienda física",Piura,Efectivo
5027,1762,2022-12-26,13596.36,"En camino","Tienda física",Trujillo,Yape
5028,1234,2023-05-02,39.10,Cancelado,Web,Chiclayo,Efectivo
5029,1592,2022-08-08,2266.86,Cancelado,App,Cusco,Efectivo
5030,1550,2023-05-20,8564.76,Cancelado,"Tienda física",Piura,"Tarjeta de crédito"
5031,2715,2023-06-07,8313.00,"En camino",Web,Trujillo,Yape
5032,2132,2022-09-29,12450.65,"En camino",App,Tacna,Yape
5033,1828,2024-08-23,10388.25,Devuelto,"Tienda física",Arequipa,"Tarjeta de crédito"
5034,2182,2024-01-11,3370.21,Devuelto,App,Chiclayo,Efectivo
5035,2134,2024-01-30,5205.91,Devuelto,"Tienda física",Arequipa,Yape
5036,1477,2024-06-23,2313.05,"En camino",App,Cajamarca,"Tarjeta de crédito"
5037,1067,2024-02-15,16287.97,Entregado,"Tienda física",Lima,Efectivo
5038,1768,2024-08-13,3406.54,"En camino",App,Cajamarca,"Tarjeta de débito"
5039,1360,2023-01-14,3453.96,Devuelto,App,Trujillo,"Tarjeta de débito"
5040,2926,2022-05-11,4699.11,Devuelto,App,Piura,"Tarjeta de crédito"
5041,1213,2022-08-14,2346.21,Cancelado,"Tienda física",Tacna,Efectivo
5042,2712,2023-11-10,3404.22,"En camino",Web,Huancayo,Efectivo
5043,1871,2023-08-23,14009.80,Devuelto,App,Cusco,"Tarjeta de crédito"
5044,2957,2022-02-19,7000.95,"En camino","Tienda física",Trujillo,Yape
5045,2185,2023-08-08,8154.22,Devuelto,"Tienda física",Chiclayo,Yape
5046,1017,2023-06-14,7785.88,Cancelado,App,Lima,Yape
5047,1425,2023-02-02,2509.88,Cancelado,Web,Chiclayo,Efectivo
5048,2198,2022-06-24,5957.78,"En camino","Tienda física",Cajamarca,Efectivo
5049,2755,2024-12-03,10094.74,Entregado,"Tienda física",Arequipa,"Tarjeta de crédito"
5050,2652,2023-02-20,11119.66,Entregado,App,Arequipa,Yape
5051,1367,2023-09-05,2776.10,Devuelto,Web,Arequipa,Yape
5052,1384,2023-05-25,6504.90,Devuelto,"Tienda física",Piura,"Tarjeta de crédito"
5053,1061,2024-06-11,8295.85,Entregado,"Tienda física",Trujillo,Yape
5054,2841,2024-02-02,5725.36,Entregado,App,Tacna,Yape
5055,1370,2023-04-06,9887.97,Entregado,Web,Arequipa,Efectivo
5056,2530,2022-06-23,1769.02,Devuelto,App,Huancayo,"Tarjeta de débito"
5057,1847,2022-03-20,13221.85,"En camino","Tienda física",Tacna,"Tarjeta de crédito"
5058,2969,2022-11-18,20818.84,"En camino","Tienda física",Iquitos,"Tarjeta de crédito"
5059,2165,2024-09-17,8632.12,Cancelado,App,Trujillo,Efectivo
5060,2628,2024-09-17,6725.77,Cancelado,App,Trujillo,"Tarjeta de débito"
5061,2126,2022-09-01,3962.21,Cancelado,App,Tacna,Efectivo
5062,1029,2022-08-08,26727.03,Entregado,App,Trujillo,"Tarjeta de crédito"
5063,1196,2023-10-19,1150.90,Devuelto,"Tienda física",Chiclayo,"Tarjeta de débito"
5064,2824,2022-02-02,31.94,"En camino",App,Lima,Efectivo
5065,1546,2024-04-15,12006.58,Cancelado,Web,Iquitos,Efectivo
5066,1378,2022-10-29,3640.26,Entregado,Web,Trujillo,Yape
5067,2390,2022-08-23,9050.53,Cancelado,Web,Piura,"Tarjeta de débito"
5068,1815,2024-08-15,4303.63,Cancelado,Web,Tacna,Yape
5069,1551,2022-09-17,18303.69,Devuelto,Web,Lima,"Tarjeta de débito"
5070,2015,2024-03-09,603.57,"En camino","Tienda física",Tacna,Efectivo
5071,2698,2023-11-27,9023.21,"En camino",Web,Tacna,Efectivo
5072,1159,2022-05-12,4487.52,Devuelto,App,Lima,Efectivo
5073,1125,2024-07-14,648.21,Entregado,"Tienda física",Cuzco,"Tarjeta de crédito"
5074,1865,2023-03-14,14124.34,Cancelado,Web,Trujillo,Efectivo
5075,2119,2022-11-28,7419.71,"En camino",Web,Trujillo,"Tarjeta de débito"
5076,1052,2024-11-08,11366.44,Entregado,"Tienda física",Lima,Yape
5077,2779,2022-08-17,2070.85,Entregado,"Tienda física",Huancayo,Yape
