producto_id,nombre_producto,categoria,subcategoria,precio_base,marca,stock_disponible
101,"Genérico Luis 394",Electrónica,Televisores,907.15,"Tottus Marca Propia",433
102,"Molitalia Sala 985",Juguetes,Clásicos,1084.90,Nike,35
103,"Nike Tiempos 553",Ropa,Accesorios,1509.32,Reebok,142
104,"Samsung Sectores 619",Belleza,"Cuidado personal",2213.07,Nike,55
105,"Nike Rosa 181",Alimentos,Orgánicos,838.62,Nestlé,280
106,"Samsung Madre 302",Juguetes,Electrónicos,903.02,Nike,274
107,"LG Otros 247",Hogar,Limpieza,1171.67,Adidas,137
108,"Nestlé Mismos 689",Deportes,Fútbol,1886.70,Nestlé,65
109,"HP Hacer 816",Belleza,Perfumes,2155.87,LG,401
110,"Adidas Violencia 819",Belleza,Perfumes,418.96,Molitalia,49
111,"Adidas De 292",Electrónica,Televisores,116.37,Nestlé,473
112,"Samsung Temas 968",Deportes,Fútbol,1270.77,Nike,380
113,"Reebok Sobre 874",Ropa,Calzado,2150.67,LG,351
114,"HP Opinión 266",Deportes,Running,1566.37,Samsung,216
115,"Tottus Marca Propia Porque 750",Alimentos,Orgánicos,1500.95,Reebok,104
116,"Molitalia Sectores 403",Belleza,"Cuidado personal",1355.08,HP,20
117,"Molitalia Un 522",Hogar,Cocina,2081.70,Genérico,456
118,"Nestlé Blanca 755",Hogar,Cocina,406.89,HP,338
119,"LG Don 323",Ropa,Accesorios,1998.83,HP,290
120,"Tottus Marca Propia Jamás 356",Hogar,Muebles,357.32,Genérico,30
121,"Reebok De 853",Ropa,Pantalones,2042.46,Genérico,5
122,"HP Ministro 643",Electrónica,Laptops,522.39,Genérico,57
123,"Nike Existe 770",Electrónica,Audio,1736.07,HP,172
124,"LG Niños 388",Belleza,Perfumes,213.45,Adidas,500
125,"Samsung Sean 166",Hogar,Cocina,1053.19,Samsung,319
126,"Nike Comunicación 164",Alimentos,Bebidas,288.49,"Tottus Marca Propia",368
127,"Genérico Hospital 452",Deportes,Running,1258.40,Nestlé,141
128,"Nike Tenía 734",Electrónica,Celulares,114.43,Nestlé,145
129,"Tottus Marca Propia Menos 181",Ropa,Calzado,268.41,Adidas,220
130,"Genérico Han 112",Juguetes,Clásicos,19.96,Samsung,123
131,"Adidas Sabe 426",Alimentos,Orgánicos,2336.91,Samsung,118
132,"Molitalia Nadie 889",Electrónica,Audio,1664.91,Nestlé,112
133,"Reebok Pocos 814",Alimentos,Bebidas,420.02,Samsung,316
134,"Molitalia Juan 794",Hogar,Decoración,574.61,Adidas,309
135,"Adidas Explicó 682",Hogar,Limpieza,1777.26,Genérico,292
136,"LG Principio 844",Alimentos,Snacks,843.83,Nestlé,384
137,"Reebok Humano 561",Juguetes,Educativos,301.05,Adidas,136
138,"Reebok Pp 860",Juguetes,Clásicos,1832.29,Molitalia,475
139,"Genérico Ningún 479",Ropa,Pantalones,1994.29,Samsung,282
140,"Genérico Después 407",Hogar,Decoración,1375.60,HP,181
141,"Genérico Unidos 420",Belleza,"Cuidado personal",993.39,"Tottus Marca Propia",430
142,"Nestlé Población 862",Juguetes,Electrónicos,1645.63,Reebok,121
143,"HP Grande 333",Deportes,Natación,988.01,HP,77
144,"Molitalia Más 274",Ropa,Accesorios,1446.74,LG,11
145,"Nike Familia 807",Belleza,"Cuidado personal",1877.04,"Tottus Marca Propia",283
146,"Reebok Diciembre 519",Belleza,Perfumes,1722.59,Nike,299
147,"Genérico Cuando 572",Deportes,Natación,2470.00,"Tottus Marca Propia",162
148,"Reebok Distintas 915",Electrónica,Televisores,572.20,Nike,390
149,"Tottus Marca Propia Ellos 574",Hogar,Muebles,1613.28,Reebok,112
150,"Genérico Propio 563",Juguetes,Electrónicos,397.61,"Tottus Marca Propia",87
151,"Samsung Decir 245",Hogar,Limpieza,1737.89,Nike,412
152,"Tottus Marca Propia Todavía 529",Electrónica,Celulares,1885.74,HP,494
153,"Nike Difícil 994",Belleza,"Cuidado personal",1793.31,Reebok,422
154,"Samsung Jamás 907",Hogar,Muebles,2234.02,"Tottus Marca Propia",196
155,"Reebok Club 490",Belleza,"Cuidado personal",2423.51,Genérico,104
