sesion_id,cliente_id,fecha_sesion,fuente_trafico,dispositivo,paginas_vistas,tiempo_sesion_seg,agrego_al_carrito,realizo_compra,pagina_salida
200001,1091,2022-06-28,Directo,Móvil,17,960,0,0,Inicio
200002,2493,2024-03-06,Correo,Móvil,18,1332,0,0,Confirmación
200003,2646,2023-04-01,Orgánico,Móvil,5,502,0,0,Confirmación
200004,1963,2024-06-28,"Meta Ads",Desktop,8,1241,1,0,Checkout
200005,1710,2023-01-02,"TikTok Ads",Móvil,16,1307,0,0,Checkout
200006,2004,2023-04-18,"Google Ads",Desktop,9,325,0,0,Carrito
200007,2156,2023-10-20,Correo,Desktop,18,701,0,0,Carrito
200008,NULL,2022-10-17,Orgánico,Móvil,7,1474,0,0,Confirmación
200009,2575,2022-10-06,Orgánico,Móvil,11,1663,0,0,Búsqueda
200010,1005,2022-04-01,Orgánico,Móvil,16,1749,1,0,Carrito
200011,2810,2022-10-31,"Google Ads",Móvil,5,1613,0,0,Búsqueda
200012,2741,2024-08-13,Directo,Desktop,10,1056,0,0,Búsqueda
200013,2112,2024-05-06,"TikTok Ads",Móvil,6,1664,0,0,Búsqueda
200014,2518,2022-02-06,Orgánico,Móvil,2,626,1,0,Producto
200015,2339,2024-07-10,"Google Ads",Desktop,15,1773,0,0,Producto
200016,2574,2022-12-05,Orgánico,Tablet,13,731,0,0,Inicio
200017,2501,2023-05-26,"TikTok Ads",Desktop,19,410,0,0,Confirmación
200018,2190,2024-09-13,Orgánico,Móvil,2,911,0,0,Confirmación
200019,NULL,2022-10-28,"Meta Ads",Tablet,9,903,0,0,Confirmación
200020,1715,2022-09-18,Correo,Móvil,8,337,0,0,Inicio
200021,2721,2023-05-02,Correo,Tablet,20,65,0,0,Inicio
200022,1876,2022-08-27,"TikTok Ads",Tablet,7,1492,1,0,Producto
200023,1329,2022-03-22,"TikTok Ads",Desktop,1,27,0,0,Producto
200024,1631,2024-11-10,Correo,Móvil,11,1167,0,0,Confirmación
200025,1045,2024-05-21,Correo,Móvil,6,1228,0,0,Producto
200026,NULL,2022-01-09,Orgánico,Móvil,13,116,1,0,Checkout
200027,NULL,2024-08-21,"TikTok Ads",Móvil,14,1142,0,0,Inicio
200028,1412,2022-11-16,Correo,Desktop,2,1363,1,0,Producto
200029,2340,2024-04-07,Correo,Tablet,5,940,0,0,Búsqueda
200030,1243,2023-06-23,Directo,Desktop,11,599,0,0,Búsqueda
200031,2784,2024-10-21,"TikTok Ads",Móvil,9,1338,0,0,Búsqueda
200032,2429,2023-04-23,"TikTok Ads",Tablet,8,877,0,0,Checkout
200033,NULL,2023-12-22,"Meta Ads",Móvil,15,1282,0,0,Producto
200034,2457,2022-08-24,Orgánico,Desktop,3,783,0,0,Producto
200035,2067,2023-10-31,Directo,Tablet,18,83,0,0,Carrito
200036,2514,2023-06-21,Directo,Desktop,2,1615,0,0,Confirmación
200037,2315,2023-02-12,"Google Ads",Desktop,7,1714,0,0,Carrito
200038,2500,2024-07-19,Directo,Móvil,16,832,0,0,Inicio
200039,2101,2024-01-31,Orgánico,Tablet,2,264,0,0,Checkout
200040,2349,2024-03-09,Directo,Tablet,20,1132,0,0,Inicio
200041,2210,2022-01-23,Correo,Tablet,8,1103,0,0,Inicio
200042,2698,2024-09-14,"Meta Ads",Desktop,10,58,0,0,Búsqueda
200043,NULL,2023-09-01,"Meta Ads",Móvil,17,1504,1,0,Confirmación
200044,1353,2023-05-13,Correo,Tablet,10,1374,1,0,Inicio
200045,1154,2023-10-28,"TikTok Ads",Desktop,7,389,1,0,Checkout
200046,1777,2023-09-25,"TikTok Ads",Móvil,14,1553,0,0,Búsqueda
200047,1591,2023-10-12,"Meta Ads",Móvil,13,544,0,0,Carrito
200048,2162,2022-11-19,"Meta Ads",Desktop,2,103,0,0,Inicio
200049,2519,2024-08-30,"TikTok Ads",Tablet,1,1291,0,0,Producto
